index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
146,5,1,1.0026,19.401,Town2,env2,2,cucumber,5.9747,fruitveg,1
147,5,1,1.0026,19.401,Town2,env2,3,scissors,1.7431,tool,1
148,5,2,20.4545,12.7712,Town9,env9,1,paul,5.4996,face,1
149,5,2,20.4545,12.7712,Town9,env9,2,banana,4.1654,fruitveg,1
150,5,2,20.4545,12.7712,Town9,env9,3,wrench,3.1043,tool,1
151,5,3,33.2767,25.6562,Town6,env6,1,taylor,14.3956,face,1
152,5,3,33.2767,25.6562,Town6,env6,2,measuring tape,6.0302,tool,1
153,5,3,33.2767,25.6562,Town6,env6,3,cow,5.2285,animal,1
154,5,4,58.9822,30.4302,Town11,env11,1,johnny,13.7471,face,1
155,5,4,58.9822,30.4302,Town11,env11,2,hammer,6.1593,tool,1
156,5,4,58.9822,30.4302,Town11,env11,3,carrot,10.5221,fruitveg,1
157,5,5,89.4615,14.5759,Town1,env1,1,george,5.6301,face,1
158,5,5,89.4615,14.5759,Town1,env1,2,zebra,4.3034,animal,1
159,5,5,89.4615,14.5759,Town1,env1,3,lettuce,4.6406,fruitveg,1
160,5,6,104.0871,7.3016,Town12,env12,1,apple,3.9085,fruitveg,1
161,5,6,104.0871,7.3016,Town12,env12,2,zoey,1.2481,face,1
162,5,6,104.0871,7.3016,Town12,env12,3,stapler,2.1431,tool,1
163,5,7,111.438,7.922,Town4,env4,1,?,6.9608,tool,0
164,5,7,111.438,7.922,Town4,env4,2,?,0.5196,animal,0
165,5,7,111.438,7.922,Town4,env4,3,?,0.4397,face,0
166,5,8,119.4117,10.7001,Town3,env3,1,emma,4.1081,face,1
167,5,8,119.4117,10.7001,Town3,env3,2,screwdriver,5.3586,tool,1
168,5,8,119.4117,10.7001,Town3,env3,3,bear,1.2317,animal,1
169,5,9,130.1659,5.7148,Town5,env5,1,?,4.3927,face,0
170,5,9,130.1659,5.7148,Town5,env5,2,?,0.6402,animal,0
171,5,9,130.1659,5.7148,Town5,env5,3,?,0.68,fruitveg,0
172,5,10,135.9304,11.6861,Town7,env7,1,jim,4.6684,face,1
173,5,10,135.9304,11.6861,Town7,env7,2,giraffe,3.7195,animal,1
174,5,10,135.9304,11.6861,Town7,env7,3,drill,3.2964,tool,1
175,5,11,147.6655,14.8112,Town10,env10,1,katy,7.4536,face,1
176,5,11,147.6655,14.8112,Town10,env10,2,pigeon,1.7764,animal,1
177,5,11,147.6655,14.8112,Town10,env10,3,?,5.5793,fruitveg,0
178,5,12,162.5277,8.4205,Town8,env8,1,beyonce,3.797,face,1
179,5,12,162.5277,8.4205,Town8,env8,2,puppy,2.9831,animal,1
180,5,12,162.5277,8.4205,Town8,env8,3,oranges,1.6385,fruitveg,1
